Release 13.2 - par O.61xd (nt)
Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

Thu May 02 15:15:00 2013


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       IP_watermarking_rijandal_map.ncd
OUTPUT FILE:      IP_watermarking_rijandal_pad.txt
PART TYPE:        xc6vlx75tl
SPEED GRADE:      -1l
PACKAGE:          ff784

Pinout by Pin Number:

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name          |Pin Usage|Pin Name                  |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|AE27      |output_dev<6>        |IOB      |IO_L5N_D8_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AE28      |output_dev<5>        |IOB      |IO_L5P_D9_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AF1       |                     |OPAD     |MGTTXP0_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AF2       |                     |OPAD     |MGTTXN0_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AF3       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AF4       |                     |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|AF5       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AF6       |                     |         |DOUT_BUSY_0               |         |           |              |          |         |           |         |         |          |           |                |
|AF7       |watermark_output<104>|IOB      |IO_L12P_SM5P_35           |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AF8       |                     |         |VCCO_35                   |         |           |35            |          |         |           |         |2.50     |          |           |                |
|AF9       |watermark_output<113>|IOB      |IO_L14N_VREF_35           |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
